arquivo,status,erro,num_acordes,usou_ocr
O Leãozinho.pdf,OK,,82,False
O Mundo É Tão Pequeno.pdf,OK,,54,True
O Mundo É Um Moinho.pdf,OK,,40,False
O Portão.pdf,OK,,122,False
O Que É Que Tem.pdf,OK,,93,True
O Sol JQ.pdf,OK,,56,False
O Sol VK.pdf,OK,,89,False
O Último Romântico.pdf,OK,,139,False
Oceano.pdf,OK,,23,True
Oh! Chuva.pdf,OK,,158,False
Oi.pdf,OK,,53,False
Onde Anda Você.pdf,OK,,63,False
Onde você Mora.pdf,OK,,36,True
Out-door.pdf,OK,,43,True
Outra Vida.pdf,OK,,55,False
Outro Lugar.pdf,OK,,11,False
Paciência.pdf,OK,,53,True
Pais e Filhos.pdf,OK,,121,False
Papel Marchê.pdf,OK,,62,True
Papo Reto.pdf,OK,,136,False
Partilhar.pdf,OK,,126,False
Pelados Em Santos.pdf,OK,,30,True
Perfect.pdf,OK,,101,False
Pescador de Ilusões.pdf,OK,,58,False
Photograph.pdf,OK,,60,False
Piloto Automático.pdf,OK,,60,False
Pode Chorar.pdf,OK,,83,False
Por Onde Andei.pdf,OK,,14,False
Por Um Minuto.pdf,OK,,168,False
Por Você.pdf,OK,,67,True
Pra Você Dar o Nome.pdf,SEM_ACORDES,,0,False
Preciso me encontrar.pdf,OK,,39,False
Primavera.pdf,OK,,23,False
Primeiros Erros.pdf,OK,,92,False
Proposta.pdf,OK,,33,False
Psycho Killer.pdf,OK,,60,False
Pupila.pdf,OK,,70,False
Página de Amigos.pdf,OK,,48,False
Pássaro de Fogo.pdf,OK,,86,False
Quando Bate Aquela Saudade.pdf,OK,,103,False
Quando Você Passa (Turu Turu).pdf,OK,,80,False
Quando o Sol Se For.pdf,OK,,56,False
Quase Sem Querer.pdf,OK,,102,False
Que Nem Maré.pdf,OK,,78,False
Que País É Este_.pdf,OK,,64,True
Quem Não Quer Sou Eu.pdf,OK,,192,False
Quem Sabe Isso Quer Dizer Amor.pdf,OK,,81,False
Quer Casar Comigo.pdf,OK,,37,False
Querendo Te Amar.pdf,OK,,76,True
Quero te encontrar.pdf,OK,,33,False
Razões e Emoções.pdf,OK,,59,True
Recado à minha amada.pdf,OK,,57,True
Resposta.pdf,OK,,87,False
Rindo À Toa.pdf,OK,,116,False
Saideira.pdf,OK,,221,False
Sampa.pdf,SEM_ACORDES,,0,False
Samurai.pdf,OK,,22,True
Sandra Rosa Madalena.pdf,OK,,65,True
Saudade da Minha Terra.pdf,OK,,65,False
Se.pdf,OK,,69,True
Segredos.pdf,OK,,14,True
Seja Para Mim.pdf,OK,,35,True
Sempre Assim.pdf,OK,,5,False
Será.pdf,OK,,70,False
Seu astral.pdf,OK,,41,True
Shape Of You.pdf,OK,,169,False
She Will Be Loved.pdf,OK,,83,False
Sina.pdf,OK,,26,True
Sinônimos.pdf,OK,,142,False
"Sitting, Waiting, Wishing.pdf",OK,,138,False
Slow Dancing In A Burning Room.pdf,OK,,73,False
So Sick.pdf,OK,,114,True
"Sorri, Sou Rei.pdf",OK,,91,False
Sorte.pdf,OK,,26,True
Sozinho.pdf,OK,,81,False
Stand By Me.pdf,OK,,26,False
Sunday Morning.pdf,OK,,30,False
Suspicious Minds.pdf,OK,,192,False
Sutilmente.pdf,OK,,40,True
Sweet Dreams.pdf,OK,,24,True
Só Hoje.pdf,OK,,59,False
Só Os Loucos Sabem.pdf,OK,,72,False
Take On Me.pdf,OK,,83,True
Talking To The Moon.pdf,OK,,84,False
Tangerina.pdf,OK,,58,False
Te Ver.pdf,OK,,64,False
Tears in Heaven.pdf,OK,,93,False
Telefone Mudo.pdf,OK,,29,False
Telegrama.pdf,OK,,59,True
Tempo Perdido.pdf,OK,,72,True
Tempos Modernos.pdf,OK,,112,True
Tentei Te Esquecer.pdf,OK,,57,False
The Way You Make Me Feel.pdf,OK,,93,False
Thinking Out Loud.pdf,OK,,167,False
This Love.pdf,OK,,13,False
Three Little Birds.pdf,OK,,45,False
Tive Razão.pdf,OK,,41,True
Tocando Em Frente.pdf,OK,,65,False
Toda Forma de Amor.pdf,OK,,21,True
Trem das onze.pdf,OK,,25,True
Tua Boca.pdf,OK,,69,True
Tua Caramassa.pdf,OK,,142,False
Um Anjo do Céu.pdf,OK,,27,True
Um Minuto Para o Fim do Mundo.pdf,OK,,78,False
Upside Down.pdf,OK,,53,True
